onset	duration	Condition Name
24.828	1	NullNull0 NullNull0
33.328	1	DeviantPhysicalSize1 DeviantPhysicalSize1
44.649	1	DeviantPhysicalSize4 DeviantPhysicalSize4
58.804	1	DeviantSymbolic4 DeviantSymbolic4
68.726	1	NullNull0 NullNull0
80.047	1	DeviantNonsymbolic4 DeviantNonsymbolic4
88.547	1	DeviantPhysicalSize4 DeviantPhysicalSize4
98.446	1	DeviantNonsymbolic1 DeviantNonsymbolic1
112.612	1	DeviantNonsymbolic4 DeviantNonsymbolic4
125.344	1	DeviantPhysicalSize1 DeviantPhysicalSize1
139.487	1	CatchSymbolic4 CatchSymbolic4
149.397	1	DeviantSymbolic4 DeviantSymbolic4
162.141	1	DeviantNonsymbolic4 DeviantNonsymbolic4
170.629	1	DeviantSymbolic4 DeviantSymbolic4
181.95	1	NullNull0 NullNull0
193.283	1	DeviantPhysicalSize4 DeviantPhysicalSize4
203.217	1	CatchPhysicalSize4 CatchPhysicalSize4
215.949	1	DeviantNonsymbolic1 DeviantNonsymbolic1
224.449	1	DeviantPhysicalSize1 DeviantPhysicalSize1
238.592	1	DeviantSymbolic4 DeviantSymbolic4
251.347	1	DeviantPhysicalSize4 DeviantPhysicalSize4
259.847	1	DeviantSymbolic4 DeviantSymbolic4
271.168	1	DeviantSymbolic1 DeviantSymbolic1
285.323	1	CatchQuantity1 CatchQuantity1
295.233	1	NullNull0 NullNull0
305.144	1	DeviantPhysicalSize1 DeviantPhysicalSize1
316.465	1	DeviantNonsymbolic1 DeviantNonsymbolic1
324.953	1	DeviantPhysicalSize1 DeviantPhysicalSize1
337.685	1	DeviantSymbolic4 DeviantSymbolic4
351.828	1	CatchPhysicalSize1 CatchPhysicalSize1
360.316	1	DeviantSymbolic1 DeviantSymbolic1
371.649	1	NullNull0 NullNull0
384.404	1	DeviantNonsymbolic1 DeviantNonsymbolic1
398.559	1	DeviantPhysicalSize4 DeviantPhysicalSize4
408.481	1	DeviantSymbolic1 DeviantSymbolic1
422.624	1	DeviantNonsymbolic4 DeviantNonsymbolic4
432.546	1	NullNull0 NullNull0
445.278	1	CatchSymbolic1 CatchSymbolic1
453.766	1	DeviantSymbolic1 DeviantSymbolic1
465.087	1	DeviantPhysicalSize1 DeviantPhysicalSize1
479.23	1	DeviantNonsymbolic1 DeviantNonsymbolic1
490.551	1	DeviantSymbolic1 DeviantSymbolic1
499.051	1	DeviantSymbolic1 DeviantSymbolic1
508.95	1	NullNull0 NullNull0
521.717	1	DeviantPhysicalSize4 DeviantPhysicalSize4
530.205	1	DeviantNonsymbolic1 DeviantNonsymbolic1
542.937	1	CatchQuantity4 CatchQuantity4
554.258	1	DeviantNonsymbolic1 DeviantNonsymbolic1
564.168	1	DeviantSymbolic1 DeviantSymbolic1
578.276	1	NullNull0 NullNull0
589.55	1	DeviantNonsymbolic4 DeviantNonsymbolic4
602.27	1	DeviantPhysicalSize4 DeviantPhysicalSize4
612.169	1	DeviantSymbolic4 DeviantSymbolic4
620.645	1	DeviantSymbolic1 DeviantSymbolic1
634.776	1	DeviantPhysicalSize1 DeviantPhysicalSize1
644.675	1	DeviantSymbolic4 DeviantSymbolic4
656.008	1	CatchNull0 CatchNull0
670.151	1	DeviantNonsymbolic4 DeviantNonsymbolic4
678.639	1	NullNull0 NullNull0
691.371	1	DeviantNonsymbolic4 DeviantNonsymbolic4
704.103	1	DeviantPhysicalSize1 DeviantPhysicalSize1
715.436	1	DeviantPhysicalSize4 DeviantPhysicalSize4
729.567	1	DeviantNonsymbolic1 DeviantNonsymbolic1
738.055	1	DeviantNonsymbolic4 DeviantNonsymbolic4
747.977	1	NullNull0 NullNull0
